Study_ID,Type,Group1,Group2,LOD,Variant,Num_ppl,Day_measure,NAb_mean,NAb_SD,NAb_l95,NAb_u95,NAb_med,NAb_q1,NAb_q3,NAb_min,NAb_max,LOD_50,DOI
Pf2_DB,Obs,PF_Pf,18to59,1,WT,3,81,2.722633923,,,,,,,,,Y,
Pf2_DB,Obs,ConvWT,18to59,1,WT,45,33,3.032215703,,,,,,,,,Y,
Pf2_DB,Obs,ConvWT,18to59,1,WT,45,180,2.622214023,,,,,,,,,Y,
Pf2_DB,Obs,ConvKEN,18to59,1,Ken,45,33,2.877371346,,,,,,,,,Y,
Pf2_DB,Obs,ConvKEN,18to59,1,Ken,45,180,2.450249108,,,,,,,,,Y,
Pf3_DB,Obs,PF_Pf,18to59,1.477121255,WT,16,150,2.792069351,,,,,,,,,Y,
Pf3_DB,Obs,PF_Pf,18to59,1.477121255,Delta,16,150,2.346802686,,,,,,,,,Y,
Pf3_DB,Obs,PF_Pf,18to59,1.477121255,Omicron,16,150,1.253071336,,,,,,,,,N,
Pf3_DB,Obs,Pf_Pf_Pf,18to59,1.477121255,WT,20,30,4.411287125,,,,,,,,,Y,
Pf3_DB,Obs,Pf_Pf_Pf,18to59,1.477121255,Delta,20,30,3.991838309,,,,,,,,,Y,
Pf3_DB,Obs,Pf_Pf_Pf,18to59,1.477121255,Omicron,20,30,3.217878578,,,,,,,,,Y,
Pf3_DB,Obs,ConvNR,18to59,1.477121255,WT,,180,2.830524514,,,,,,,,,Y,
Pf3_DB,Obs,ConvNR,18to59,1.477121255,Delta,,180,2.702430536,,,,,,,,,Y,
Pf3_DB,Obs,ConvNR,18to59,1.477121255,Omicron,,180,1.69019608,,,,,,,,,Y,
Pf3_DB,Obs,ConvNR,18to59,1.477121255,WT,,365,3.055503039,,,,,,,,,Y,
Pf3_DB,Obs,ConvNR,18to59,1.477121255,Delta,,365,2.559285547,,,,,,,,,Y,
Pf3_DB,Obs,ConvNR,18to59,1.477121255,Omicron,,365,1.532833971,,,,,,,,,Y,
Pf4_DB,Obs,PF_Pf,18to59,1.301029996,WT,11,180,2.781036939,,,,,,,,,Y,
Pf4_DB,Obs,PF_Pf,18to59,1.301029996,Delta,11,180,2.195899652,,,,,,,,,Y,
Pf4_DB,Obs,PF_Pf,18to59,1.301029996,Omicron,11,180,0.954242509,,,,,,,,,N,
Pf4_DB,Obs,Pf_Pf_Pf,18to59,1.301029996,WT,10,30,3.302330929,,,,,,,,,Y,
Pf4_DB,Obs,Pf_Pf_Pf,18to59,1.301029996,Delta,10,30,2.861534411,,,,,,,,,Y,
Pf4_DB,Obs,Pf_Pf_Pf,18to59,1.301029996,Omicron,10,30,2.484299839,,,,,,,,,Y,
Pf4_DB,Obs,ConvWT,18to59,1.301029996,WT,17,175,2.788168371,,,,,,,,,Y,
Pf4_DB,Obs,ConvWT,18to59,1.301029996,Delta,17,175,2.42975228,,,,,,,,,Y,
Pf4_DB,Obs,ConvWT,18to59,1.301029996,Omicron,17,175,0,,,,,,,,,N,
