DOI,Study_ID,Type,Group1,Group2,LOD,Variant,Num_ppl,Day_measure,NAb_mean,NAb_SD,NAb_l95,NAb_u95,NAb_med,NAb_q1,NAb_q3,NAb_min,NAb_max,LOD_50
http://doi.org/10.1007/s15010-021-01680-z ,PZ1_PC,Obs,Pf,,0.698970004,,22,21,,,,,0.812913357,0.698970004,1.181843588,,,N
http://doi.org/10.1007/s15010-021-01680-z ,PZ1_PC,Obs,Pf_Pf21,,0.698970004,,22,21,,,,,2.23299611,2.003029471,2.361916619,,,N
http://doi.org/10.1007/s15010-021-01680-z ,PZ1_PC,Obs,ConvNR,,0.698970004,,34,293,,,,,1.447158031,0.698970004,2.080987047,,,N
http://doi.org/10.1093/cid/ciab492 ,PZ2_PC,Obs,Pf,,1,D614G,25,21,0.730782276,,0.477121255,0.982271233,,,,,,N
http://doi.org/10.1093/cid/ciab492 ,PZ2_PC,Obs,Pf_Pf21,,1,D614G,25,7,2.241048151,,2.125481266,2.356408327,,,,,,N
http://doi.org/10.1093/cid/ciab492,PZ2_PC,Obs,Pf,,1,UK,25,21,0.539076099,,0.301029996,0.755874856,,,,,,N
http://doi.org/10.1093/cid/ciab492,PZ2_PC,Obs,Pf_Pf21,,1,UK,25,7,1.859378504,,1.722633923,1.996073654,,,,,,N
http://doi.org/10.1093/cid/ciab492,PZ2_PC,Obs,Pf,,1,SA,25,21,0.167317335,,0,0.342422681,,,,,,N
http://doi.org/10.1093/cid/ciab492,PZ2_PC,Obs,Pf_Pf21,,1,SA,25,7,1.607990859,,1.45484486,1.761175813,,,,,,N
http://doi.org/10.1093/cid/ciab492,PZ2_PC,Obs,ConvNR,,1,,15,180,1.549003262,,1.305351369,1.7930916,,,,,,N
http://doi.org/10.1093/cid/ciab492,PZ2_PC,Obs,ConvNR,,1,,15,180,1.448860846,,1.217483944,1.679427897,,,,,,N
http://doi.org/10.1093/cid/ciab492,PZ2_PC,Obs,ConvNR,,1,,15,180,0.693726949,,0.380211242,1.004321374,,,,,,N
https://doi.org/10.1007/s15010-021-01732-4 ,PZ3_PC,Obs,Pf_Pf,,1,Alpha,117,90,,,,,2.505149978,1.903415586,2.806891905,,,N
https://doi.org/10.1007/s15010-021-01732-4 ,PZ3_PC,Obs,Pf_Pf,,1,Delta,117,90,,,,,1.903089987,1.586137025,1.924124153,,,N
https://doi.org/10.1007/s15010-021-01732-4 ,PZ3_PC,Obs,ConvNR,,1,Delta,97,,,,,,1.602059991,1.32407658,1.930999942,,,N
http://doi.org/10.1056/NEJMc2104036,PZ4_PC,Obs,Conv_Pf,,1,Wuhan,6,15,3.963551734,,3.531095547,4.274204048,,,,,,N
http://doi.org/10.1056/NEJMc2104036,PZ4_PC,Obs,Conv_Pf,,1,Alpha,6,15,3.913389944,,3.630936119,4.195982631,,,,,,N
http://doi.org/10.1056/NEJMc2104036,PZ4_PC,Obs,Conv_Pf,,1,Beta,6,15,3.210853365,,2.8283376,3.593618308,,,,,,N
http://doi.org/10.1056/NEJMc2104036,PZ4_PC,Obs,Conv_Pf,,1,Gamma,6,15,3.461798558,,2.982678193,3.941014244,,,,,,N
http://doi.org/10.1056/NEJMc2104036,PZ4_PC,Obs,ConvNR,,1,Wuhan,6,217,2.659060072,,2.152899596,3.165244326,,,,,,N
http://doi.org/10.1056/NEJMc2104036,PZ4_PC,Obs,ConvNR,,1,Alpha,6,217,2.408239965,,1.961421094,2.855094951,,,,,,N
http://doi.org/10.1056/NEJMc2104036,PZ4_PC,Obs,ConvNR,,1,Beta,6,217,0.903089987,,0.413634997,1.39252109,,,,,,N
http://doi.org/10.1056/NEJMc2104036,PZ4_PC,Obs,ConvNR,,1,Gamma,6,217,1.854063012,,1.311117843,2.396896449,,,,,,N
https://doi.org/10.1016/j.immuni.2021.09.011,PZ5_PC,Obs,Conv_Pf310,,1,D614,17,60,3.408239965,,,,,,,,,N
https://doi.org/10.1016/j.immuni.2021.09.011,PZ5_PC,Obs,Conv_Pf310,,1,Beta,17,60,3.408239965,,,,,,,,,N
https://doi.org/10.1016/j.immuni.2021.09.011,PZ5_PC,Obs,Conv_Pf310,,1,Delta,17,60,3.408239965,,,,,,,,,N
https://doi.org/10.1016/j.immuni.2021.09.011,PZ5_PC,Obs,Conv_Pf310,,1,D614,26,60,3.408239965,,,,,,,,,N
https://doi.org/10.1016/j.immuni.2021.09.011,PZ5_PC,Obs,Conv_Pf310,,1,Beta,26,60,3.269403189,,3.234086825,3.31302311,,,,,,N
https://doi.org/10.1016/j.immuni.2021.09.011,PZ5_PC,Obs,Conv_Pf310,,1,Delta,26,60,3.38287757,,3.355939755,3.409686333,,,,,,N
https://doi.org/10.1016/j.immuni.2021.09.011,PZ5_PC,Obs,ConvNR,,1,D614,17,,3.106748286,,3.020361283,3.176308352,,,,,,
