Study_ID,Type,Group1,Group2,LOD,Variant,Num_ppl,Day_measure,NAb_mean,NAb_SD,NAb_l95,NAb_u95,NAb_med,NAb_q1,NAb_q3,NAb_min,NAb_max,LOD_50,DOI
AZ1,RCT,AZ,,,WT,37,56,,,,,0.539076099,0.445604203,1.138618434,,,N,10.1016/S0140-6736(20)31604-4
AZ1,RCT,AZ_AZ28,,,WT,9,14,,,,,1.457124626,1.233757363,1.527629901,,,N,10.1016/S0140-6736(20)31604-4
AZ1,RCT,ConvWT,,,WT,5,20,1.770852012,1.548143637,,,,,,,,N,10.1016/S0140-6736(20)31604-4
AZ2,Obs,AZ,,1,WT,42,21,1.113943352,,0.903089987,1.342422681,,,,,,N,10.1371/journal.pmed.1003991
AZ2,Obs,AZ_AZ56,,1,WT,42,28,1.255272505,,1.041392685,1.477121255,,,,,,N,10.1371/journal.pmed.1003991
AZ2,Obs,ConvWT,,1,WT,67,42,2.214843848,,2.089905111,2.340444115,,,,,,N,10.1371/journal.pmed.1003991
AZ2,Obs,PZ,,1,WT,54,21,1.176091259,,1,1.301029996,,,,,,N,10.1371/journal.pmed.1003991
AZ2,Obs,PZ_PZ21,,1,WT,54,28,2.330413773,,2.184691431,2.475671188,,,,,,N,10.1371/journal.pmed.1003991
AZ2,Obs,AZ_AZ56_PZ175,,1,WT,42,28,2.57863921,,2.344392274,2.812913357,,,,,,N,10.1371/journal.pmed.1003991
AZ2,Obs,PZ_PZ21_PZ301,,1,WT,54,28,3.076276255,,2.912222057,3.254789687,,,,,,N,10.1371/journal.pmed.1003991
AZ3,Obs,AZ,,,WT,37,21,2.06669855,2.065206128,,,,,,,,N,10.1093/infdis/jiab579
AZ3,Obs,AZ_AZ28,,,WT,81,14,2.650307523,2.532754379,,,,,,,,N,10.1093/infdis/jiab579
AZ3,Obs,ConvNR,,,WT,18,28,3.672836454,3.514547753,,,,,,,,N,10.1093/infdis/jiab579
AZ3,Obs,PZ,,,WT,31,21,2.262688344,2.192009593,,,,,,,,N,10.1093/infdis/jiab579
AZ3,Obs,PZ_PZ21,,,WT,36,7,3.405517107,3.406028945,,,,,,,,N,10.1093/infdis/jiab579
SV28,Obs,PZ_PZ21_PZ,,1,WT,20,,2.505149978,,2.505149978,2.505149978,,,,,,N,10.2807/1560-7917.ES.2022.27.18.2200178
SV28,Obs,PZ_PZ21_PZ,,1,Omicron,20,,1.828015064,,1.658011397,1.998259338,,,,,,N,10.2807/1560-7917.ES.2022.27.18.2200178
SV28,Obs,PZ_PZ21_PZ,,1,Omicron,20,,1.978180517,,1.867467488,2.089198367,,,,,,N,10.2807/1560-7917.ES.2022.27.18.2200178
SV28,Obs,SV_SV28_SV,,1,WT,20,,1.812913357,,1.641474111,1.984527313,,,,,,N,10.2807/1560-7917.ES.2022.27.18.2200178
SV28,Obs,SV_SV28_SV,,1,Omicron,20,,0.908485019,,0.806179974,1.012837225,,,,,,N,10.2807/1560-7917.ES.2022.27.18.2200178
SV28,Obs,SV_SV28_SV,,1,Omicron,20,,0.968482949,,0.892094603,1.06069784,,,,,,N,10.2807/1560-7917.ES.2022.27.18.2200178
SV28,Obs,SV_SV28_PZ,,1,WT,20,,2.490099005,,2.458637849,2.521661015,,,,,,N,10.2807/1560-7917.ES.2022.27.18.2200178
SV28,Obs,SV_SV28_PZ,,1,Omicron,20,,1.707570176,,1.517195898,1.897627091,,,,,,N,10.2807/1560-7917.ES.2022.27.18.2200178
SV28,Obs,SV_SV28_PZ,,1,Omicron,20,,1.662757832,,1.465382851,1.859138297,,,,,,N,10.2807/1560-7917.ES.2022.27.18.2200178
PZ619,Obs,AZ_AZ28,,1,WT,13,33,1.982271233,1.954242509,,,,,,,,N,10.3390/vaccines10020332 
PZ619,Obs,AZ_PZ,,1,WT,6,31,2.31386722,2.045322979,,,,,,,,N,10.3390/vaccines10020332 
PZ619,Obs,PZ_PZ21,,1,WT,22,32,2.550228353,2.584331224,,,,,,,,N,10.3390/vaccines10020332 
PZ619,Obs,ConvWT,,1,WT,17,144,2.117271296,2.093421685,,,,,,,,N,10.3390/vaccines10020332 
PZ627,Obs,PZ_PZ21,,,WT,9,69,2.935507266,2.675778342,,,,,,,,N,10.1016/j.celrep.2021.110237 
PZ627,Obs,PZ_PZ21,,,Beta,9,69,2.252853031,2.093421685,,,,,,,,N,10.1016/j.celrep.2021.110237 
PZ627,Obs,PZ_PZ21,,,Delta,9,69,2.408239965,2.222716471,,,,,,,,N,10.1016/j.celrep.2021.110237 
PZ627,Obs,PZ_PZ21,,,Delta,9,69,2.409933123,2.255272505,,,,,,,,N,10.1016/j.celrep.2021.110237 
PZ627,Obs,PZ_PZ21,,,Mu,9,69,2.103803721,1.991226076,,,,,,,,N,10.1016/j.celrep.2021.110237 
PZ627,Obs,PZ_PZ21,,,C.1.2,9,69,2.037426498,2.049218023,,,,,,,,N,10.1016/j.celrep.2021.110237 
PZ627,Obs,ConvNR,,,WT,8,45,2.523746467,2.227886705,,,,,,,,N,10.1016/j.celrep.2021.110237 
PZ627,Obs,ConvNR,,,Beta,8,45,1.880813592,1.544068044,,,,,,,,N,10.1016/j.celrep.2021.110237 
PZ627,Obs,ConvNR,,,Delta,8,45,1.939519253,1.579783597,,,,,,,,N,10.1016/j.celrep.2021.110237 
PZ627,Obs,ConvNR,,,Delta,8,45,1.954242509,1.568201724,,,,,,,,N,10.1016/j.celrep.2021.110237 
PZ627,Obs,ConvNR,,,Mu,8,45,1.851258349,1.748188027,,,,,,,,N,10.1016/j.celrep.2021.110237 
PZ627,Obs,ConvNR,,,C.1.2,8,45,1.633468456,1.414973348,,,,,,,,N,10.1016/j.celrep.2021.110237 
PZ660,Obs,PZ_PZ21_PZ,,,WT,10,7,2.741151599,2.838219222,,,,,,,,N,10.1038/s41591-021-01294-w 
PZ660,Obs,PZ_PZ21_PZ,,,Alpha,10,7,2.434568904,2.544068044,,,,,,,,N,10.1038/s41591-021-01294-w 
PZ660,Obs,ConvNR,,,WT,24,30,2.240549248,2.929418926,,,,,,,,N,10.1038/s41591-021-01294-w 
PZ660,Obs,ConvNR,,,Alpha,24,30,2.11058971,2.697229343,,,,,,,,N,10.1038/s41591-021-01294-w 
PZ670,Obs,PZ_PZ21,,1,WT,30,30,2.671450554,2.291590826,,,,,,,,N,10.3390/vaccines10050703 
PZ670,Obs,PZ_PZ21,,1,WT,30,30,2.243038049,2.290924559,,,,,,,,N,10.3390/vaccines10050704
PZ670,Obs,PZ_PZ21,,1,Alpha,30,30,2.261738547,2.319730494,,,,,,,,N,10.3390/vaccines10050705
PZ670,Obs,PZ_PZ21,,1,Gamma,30,30,1.966939163,1.897627091,,,,,,,,N,10.3390/vaccines10050706
PZ670,Obs,PZ_PZ21,,1,Beta,30,30,1.166430114,1.183269844,,,,,,,,N,10.3390/vaccines10050707
PZ670,Obs,PZ_PZ21,,1,B.1.258.17,30,30,1.380211242,1.205475037,,,,,,,,N,10.3390/vaccines10050708
PZ670,Obs,PZ_PZ21,,1,C.36.3 (1),30,30,1.749504424,2.059184618,,,,,,,,N,10.3390/vaccines10050709
PZ670,Obs,PZ_PZ21,,1,Eta,30,30,1.20871002,1.074450719,,,,,,,,N,10.3390/vaccines10050710
PZ670,Obs,PZ_PZ21,,1,Delta,30,30,1.282622113,1.12904506,,,,,,,,N,10.3390/vaccines10050711
PZ670,Obs,PZ_PZ21,,1,Mu,30,30,1.096910013,0.9990435,,,,,,,,N,10.3390/vaccines10050712
PZ670,Obs,PZ_PZ21,,1,C.36.3 (2),30,30,1.656385719,1.630732893,,,,,,,,N,10.3390/vaccines10050713
PZ670,Obs,PZ_PZ21,,1,Lambda,30,30,1.130333768,0.985067033,,,,,,,,N,10.3390/vaccines10050714
PZ670,Obs,PZ_PZ21,,1,Delta,30,30,1.344981414,1.131618664,,,,,,,,N,10.3390/vaccines10050715
PZ670,Obs,PZ_PZ21,,1,Omicron,30,30,0.698970004,0,,,,,,,,Y,10.3390/vaccines10050716
PZ670,Obs,PZ_PZ21,,1,WT,28,180,1.88326386,1.98403198,,,,,,,,N,10.3390/vaccines10050703 
