Study_ID,Type,Group1,Group2,LOD,Variant,Num_ppl,Day_measure,NAb_mean,NAb_SD,NAb_l95,NAb_u95,NAb_med,NAb_q1,NAb_q3,NAb_min,NAb_max,LOD_50,DOI
THA1,Obs,ConvDelta,HCW,10,Delta,14,,2.6903,,,,,,,,,N,https://doi.org/10.1016/j.jvacx.2022.100153
THA1,Obs,ConvBeta,HCW,10,Beta,20,,1.9849,,,,,,,,,N,https://doi.org/10.1016/j.jvacx.2022.100153
THA1,Obs,CV_CV28,HCW,10,WT,50,14,2.5281,,2.461,2.595,,,,,,N,https://doi.org/10.1016/j.jvacx.2022.100153
THA1,Obs,CV_CV28,HCW,10,Alpha,50,14,1.3627,,1.232,1.493,,,,,,N,https://doi.org/10.1016/j.jvacx.2022.100153
THA1,Obs,CV_CV28,HCW,10,Delta,50,14,1.3255,,1.21,1.441,,,,,,N,https://doi.org/10.1016/j.jvacx.2022.100153
THA1,Obs,CV_CV28,HCW,10,Beta,50,14,1.0082,,0.902,1.114,,,,,,N,https://doi.org/10.1016/j.jvacx.2022.100153
THA1,Obs,AZ_AZ70,HCW,10,WT,30,14,2.5068,,2.396,2.618,,,,,,N,https://doi.org/10.1016/j.jvacx.2022.100153
THA1,Obs,AZ_AZ70,HCW,10,Alpha,30,14,1.9662,,1.826,2.106,,,,,,N,https://doi.org/10.1016/j.jvacx.2022.100153
THA1,Obs,AZ_AZ70,HCW,10,Delta,30,14,1.8432,,1.691,1.995,,,,,,N,https://doi.org/10.1016/j.jvacx.2022.100153
THA1,Obs,AZ_AZ70,HCW,10,Beta,30,14,1.639,,1.496,1.782,,,,,,N,https://doi.org/10.1016/j.jvacx.2022.100153
THA2,Obs,ConvDelta,HCW,10,Delta,14,,2.6903,,,,,,,,,N,doi: https://doi.org/10.1101/2021.11.29.21266947
THA2,Obs,ConvBeta,HCW,10,Beta,20,,1.9849,,,,,,,,,N,doi: https://doi.org/10.1101/2021.11.29.21266947
THA2,Obs,CV_CV28_SP28,HCW,10,Delta,,14,1.7875,,1.545,2.029,,,,,,N,doi: https://doi.org/10.1101/2021.11.29.21266947
THA2,Obs,CV_CV28_SP28,HCW,10,Beta,,14,1.5705,,1.255,1.886,,,,,,N,doi: https://doi.org/10.1101/2021.11.29.21266947
THA2,Obs,CV_CV28_AZ28,HCW,10,Delta,,14,2.4333,,2.347,2.519,,,,,,N,doi: https://doi.org/10.1101/2021.11.29.21266947
THA2,Obs,CV_CV28_AZ28,HCW,10,Beta,,14,2.2317,,2.096,2.368,,,,,,N,doi: https://doi.org/10.1101/2021.11.29.21266947
THA2,Obs,CV_CV28_PZ28,HCW,10,Delta,,14,2.6139,,2.494,2.734,,,,,,N,doi: https://doi.org/10.1101/2021.11.29.21266947
THA2,Obs,CV_CV28_PZ28,HCW,10,Beta,,14,2.4867,,2.345,2.628,,,,,,N,doi: https://doi.org/10.1101/2021.11.29.21266947
THA2,Obs,AZ_AZ70_SP70,HCW,10,Delta,,14,1.6902,,1.575,1.807,,,,,,N,doi: https://doi.org/10.1101/2021.11.29.21266947
THA2,Obs,AZ_AZ70_SP70,HCW,10,Beta,,14,1.4487,,1.257,1.639,,,,,,N,doi: https://doi.org/10.1101/2021.11.29.21266947
THA2,Obs,AZ_AZ70_AZ70,HCW,10,Delta,,14,1.8395,,1.7,1.978,,,,,,N,doi: https://doi.org/10.1101/2021.11.29.21266947
THA2,Obs,AZ_AZ70_AZ70,HCW,10,Beta,,14,1.5821,,1.416,1.749,,,,,,N,doi: https://doi.org/10.1101/2021.11.29.21266947
THA2,Obs,AZ_AZ70_PZ70,HCW,10,Delta,,14,2.6722,,2.597,2.747,,,,,,N,doi: https://doi.org/10.1101/2021.11.29.21266947
THA2,Obs,AZ_AZ70_PZ70,HCW,10,Beta,,14,2.4667,,2.369,2.565,,,,,,N,doi: https://doi.org/10.1101/2021.11.29.21266947
PZ24,Obs,ConvNR,HCW,10,Alpha,38,31,3.0897,3.414,,,,,,,,N,doi: https://doi.org/10.3390/vaccines10010075
PZ24,Obs,AZ_PZ70,HCW,10,Alpha,16,30,3.7463,3.4944,,,3.697,3.5268,3.8755,,,N,doi: https://doi.org/10.3390/vaccines10010075
PZ24,Obs,PZ_PZ30,HCW,10,Alpha,98,30,3.5464,3.4976,,,3.4023,3.222,3.6348,,,N,doi: https://doi.org/10.3390/vaccines10010075
