Study_ID,Type,Group1,Group2,LOD,Variant,Num_ppl,Day_measure,NAb_mean,NAb_SD,NAb_l95,NAb_u95,NAb_med,NAb_q1,NAb_q3,NAb_min,NAb_max,LOD_50,DOI
SV1_SD,RCT,SV_SV14_90,,,WT,24,0,0.301029996,,,,,,,0.301029996,0.301029996,,
SV1_SD,RCT,SV_SV14_180,,,WT,24,0,0.322219295,,,,,,,0.278753601,0.342422681,,
SV1_SD,RCT,SV_SV14_Placebo,,,WT,24,0,0.301029996,,,,,,,0.301029996,0.301029996,,
SV1_SD,RCT,SV_SV14_90,,,WT,24,14,0.748188027,,,,,,,0.556302501,0.939519253,,
SV1_SD,RCT,SV_SV14_180,,,WT,24,14,0.886490725,,,,,,,0.716003344,1.06069784,,
SV1_SD,RCT,SV_SV14_Placebo,,,WT,24,14,0.301029996,,,,,,,0.301029996,0.301029996,,
SV1_SD,RCT,SV_SV28,,,WT,24,0,0.301029996,,,,,,,0.301029996,0.301029996,,
SV1_SD,RCT,SV_SV28_Placebo,,,WT,24,0,0.301029996,,,,,,,0.301029996,0.301029996,,
SV1_SD,RCT,SV_SV28,,,WT,24,28,1.278753601,,,,,,,1.120573931,1.437750563,,
SV1_SD,RCT,SV_SV28,,,WT,24,28,1.471291711,,,,,,,1.252853031,1.689308859,,
SV1_SD,RCT,SV_SV28_Placebo,,,WT,24,28,0.342422681,,,,,,,0.255272505,0.447158031,,
SV1_SD,RCT,ConvWT,,,WT,117,,2.214048679,,,,,,,2.108903128,2.319314304,,
SV2_SD,Obs,SV_SV21,,,D614G,10,21,2.446226402,2.030356805,,,,,,2.235932254,2.587306782,,
SV2_SD,Obs,ConvWT,,,D614G,10,30,2.761702368,2.402347373,,,,,,2.512083758,2.919208884,,
SV2_SD,Obs,SV_SV21,,,WT,10,21,1.790988475,1.656960183,,,,,,1.215108581,2.030154271,,
SV2_SD,Obs,ConvWT,,,WT,10,30,2.22762965,2.118562313,,,,,,1.574147064,2.47754087,,
SV3_SD,Obs,SV,,1.301029996,Gamma,18,21,,,,,,,,,,,
SV3_SD,Obs,SV,,1.301029996,lineage B isolate,18,21,,,,,1.301029996,1.301029996,1.477121255,,,,
SV3_SD,Obs,SV_SV21,,1.301029996,Gamma,20,21,,,,,1.380211242,1,1.397940009,,,Y,
SV3_SD,Obs,SV_SV21,,1.301029996,Gamma,20,21,,,,,1.447158031,1.301029996,1.397940009,,,,
SV3_SD,Obs,SV_SV21,,1.301029996,lineage B isolate,20,21,,,,,1.875061263,1,2.419955748,,,Y,
SV3_SD,Obs,ConvWT,,1.301029996,Gamma,21,65,,,,,1.477121255,1,1.653212514,,,Y,
SV3_SD,Obs,ConvWT,,1.301029996,lineage B isolate,21,65,,,,,2.414973348,2.204119983,2.602059991,,,,
