Study_ID,Type,Group1,Group2,LOD,Variant,Num_ppl,Day_measure,NAb_mean,NAb_SD,NAb_l95,NAb_u95,NAb_med,NAb_q1,NAb_q3,NAb_min,NAb_max,LOD_50,DOI
SP1,Obs,SP_SP21,18to59,0.602059991,WT,760,28,1.797128988,,1.756027213,1.83828225,,,,,,N,
SP1,Obs,SP_SP21,18to59,0.602059991,Alpha,470,28,1.493736802,,1.442636526,1.544935766,,,,,,N,
SP1,Obs,SP_SP21,18to59,0.602059991,Beta,470,28,1.178401342,,1.115943177,1.241048151,,,,,,N,
SP1,Obs,SP_SP21,18to59,0.602059991,Gamma,470,28,1.569022586,,1.516403148,1.621591676,,,,,,N,
SP1,Obs,SP_SP21,18to59,0.602059991,Iota,470,28,1.258158193,,1.212986185,1.303196057,,,,,,N,
SP1,Obs,SP_SP21,18to59,0.602059991,WT,581,180,1.611085733,,1.528016341,1.694166296,,,,,,N,
SP1,Obs,SP_SP21,18to59,0.602059991,Delta,220,180,1.202215776,,1.104487111,1.299725154,,,,,,N,
SP1,Obs,ConvWT,18to59,0.602059991,WT,16,180,2.57054294,,2.399673721,2.808210973,,,,,,N,
SP1,Obs,ConvWT,18to59,0.602059991,Alpha,16,180,2.301029996,,2.096910013,2.565847819,,,,,,N,
SP1,Obs,ConvWT,18to59,0.602059991,Beta,16,180,1.959041392,,1.662757832,2.328379603,,,,,,N,
SP1,Obs,ConvWT,18to59,0.602059991,Gamma,16,180,2.217483944,,1.995635195,2.505149978,,,,,,N,
SP1,Obs,ConvWT,18to59,0.602059991,Delta,16,180,2.041392685,,1.770852012,2.372912003,,,,,,N,
SP1,Obs,ConvWT,18to59,0.602059991,Iota,16,180,2.206825876,,1.991226076,2.482873584,,,,,,N,
SP2,Obs,SP,,1.301029996,WT,23,0,,,,,<LOD,<LOD,<LOD,,,Y,
SP2,Obs,SP,,1.301029996,WT,23,14,,,,,<LOD,<LOD,1.556302501,,,Y,
SP2,Obs,SP_SP,,1.301029996,WT,23,28,,,,,1.934498451,1.653212514,2.278753601,,,N,
SP2,Obs,SP_SP,,1.301029996,WT,23,90,,,,,1.707570176,1.491361694,2.012837225,,,N,
SP2,Obs,SP_SP,,1.301029996,WT,23,180,,,,,1.491361694,<LOD,1.62838893,,,N,
SP2,Obs,ConvNR,,1.301029996,WT,40,180,,,,,2.381115081,2.056904851,2.655138435,,,N,
SP3,Obs,SP_SP,,1.397940009,WT,60,42,2.21,,1.2,3.18,,,,,,N,
SP3,Obs,Conv_SP_SP,,1.397940009,WT,60,42,2.82,,2.14,3.51,,,,,,N,
SP3,Obs,ConvNR,,1.397940009,WT,60,42,2.94,,1.99,3.86,,,,,,N,
SP4,Obs,AZ_AZ61,,0.301029996,WT,120,14,1.591064607,,1.462397998,1.716003344,,,,,,N,
SP4,Obs,AZ_AZ61,,0.301029996,Omicron,,14,0.369215857,,0.225309282,0.51054501,,,,,,N,
SP4,Obs,AZ_SP60,,0.301029996,WT,109,14,1.361727836,,1.230448921,1.491361694,,,,,,N,
SP4,Obs,AZ_SP60,,0.301029996,Omicron,,14,0.136720567,,0.045322979,0.227886705,,,,,,Y,
SP4,Obs,SP_SP40,,0.301029996,WT,41,14,1.113943352,,0.84509804,1.361727836,,,,,,N,
SP4,Obs,SP_SP40,,0.301029996,Omicron,,14,0.158362492,,-0.045757491,0.365487985,,,,,,Y,
SP4,Obs,SP_AZ33,,0.301029996,WT,37,14,1.875061263,,1.633468456,2.11058971,,,,,,N,
SP4,Obs,SP_AZ33,,0.301029996,Omicron,,14,0.688419822,,0.093421685,1.283301229,,,,,,N,
SP4,Obs,ConvWT,,0.301029996,WT,30,45,1.113943352,,0.954242509,1.278753601,,,,,,N,
SV1,Obs,SV,HCW,1.301029996,WT,8,28,1.533390708,,1.418301291,1.64738297,,,,,,,
SV1,Obs,SV_SV28,HCW,1.301029996,WT,7,28,2.953600244,,2.870696458,3.036389329,,,,,,,
SV1,Obs,ConvNR,HCW,1.301029996,WT,8,,2.469718951,,2.330007701,2.609274172,,,,,,,
SV1,Obs,Conv_SV,HCW,1.301029996,WT,8,28,2.783203,,2.681060244,2.885248108,,,,,,,
SV1,Obs,Conv_SV_SV28,HCW,1.301029996,WT,7,28,3.107301569,,3.031570032,3.182984967,,,,,,,
SV2,RCT,SV_SV28,,0.903089987,WT,244,21,1.571708832,,1.522444234,1.621176282,,,,,,N,
SV2,RCT,SV_SV28,,0.903089987,WT,241,210,0.716003344,,0.662757832,0.770852012,,,,,,Y,
SV2,RCT,SV_SV28_SV240,,0.903089987,WT,173,21,2.167317335,,2.070037867,2.264581729,,,,,,N,
SV2,RCT,SV_SV28,18to55,0.903089987,WT,120,21,1.640481437,,1.565847819,1.715167358,,,,,,N,
SV2,RCT,SV_SV28,18to55,0.903089987,WT,117,210,0.913813852,,0.826074803,1.004321374,,,,,,Y,
SV2,RCT,SV_SV28_SV240,18to55,0.903089987,WT,54,21,2.139564266,,2.035829825,2.243286146,,,,,,N,
SV2,RCT,SV_SV28,65to85,0.903089987,WT,124,21,1.6599162,,1.57634135,1.742725131,,,,,,N,
SV2,RCT,SV_SV28,65to85,0.903089987,WT,124,210,0.591064607,,0.491361694,0.69019608,,,,,,Y,
SV2,RCT,SV_SV28_SV240,65to85,0.903089987,WT,119,21,2.199755177,,1.948901761,2.450710878,,,,,,N,
SV2,RCT,ConvNR,,0.903089987,WT,,,2.214048679,,,,,,,,,N,
SV3,Obs,SV_SV21,HCW,1.301029996,WT,83,37,1.346352974,,1.181843588,1.51054501,,,,,,N,
SV3,Obs,SP_SP21,HCW,1.301029996,Gamma,83,37,1.485721426,1.789580712,,,,,,,,Y,
SV3,Obs,ConvNR,HCW,1.301029996,WT,31,207,,,,,1.919078092,1.414973348,2.204119983,,,N,
Pf1,Obs,ConvWT,,2,WT,30,,3.288025535,,2.598790507,3.582177038,,,,,,N,
Pf1,Obs,ConvWT,,2,Alpha,30,,2.932980822,,2.11058971,3.32858345,,,,,,N,
Pf1,Obs,ConvWT,,2,Beta,30,,2.608526034,,2,3.085290578,,,,,,N,
Pf1,Obs,ConvWT,,2,Gamma,30,,2.821513528,,2.222716471,3.196728723,,,,,,N,
Pf1,Obs,ConvWT,,2,Delta,30,,2.740362689,,2.252853031,3.399673721,,,,,,N,
Pf1,Obs,Pf_Pf,,2,WT,30,7,4.119684692,,3.977677888,4.271795155,,,,,,N,
Pf1,Obs,Pf_Pf,,2,WT,21,56,4.728191399,,4.434073654,4.910752434,,,,,,N,
Pf1,Obs,Pf_Pf,,2,Alpha,30,7,3.977677888,,3.805296916,4.099404372,,,,,,N,
Pf1,Obs,Pf_Pf,,2,Alpha,21,56,4.586204597,,4.281941933,4.778903376,,,,,,N,
Pf1,Obs,Pf_Pf,,2,Beta,30,7,3.592287816,,3.257678575,3.926959488,,,,,,N,
Pf1,Obs,Pf_Pf,,2,Beta,21,56,3.997954004,,3.490941205,4.22110112,,,,,,N,
Pf1,Obs,Pf_Pf,,2,Gamma,30,7,3.856003454,,3.460446784,4.068964666,,,,,,N,
Pf1,Obs,Pf_Pf,,2,Gamma,21,56,4.210960255,,3.947237608,4.342797591,,,,,,N,
Pf1,Obs,Pf_Pf,,2,Delta,30,7,3.997954004,,3.724111954,4.231240149,,,,,,N,
Pf1,Obs,Pf_Pf,,2,Delta,21,56,4.494933398,,4.22110112,4.799188865,,,,,,N,
Pf2,Obs,Pf,HCW,1.301029996,WT,220,28,2.57426283,,,,,,,1.408239965,3.428134794,N,
Pf2,Obs,ConvNR,HCW,1.301029996,WT,65,,2.212187604,,,,,,,1.301029996,3.167317335,N,
Pf3,Obs,Pf_Pf21_Pf210,,1.698970004,WT,10,,3.32674538,,3.158362492,3.494988974,,,,,,N,
Pf3,Obs,Pf_Pf21_Pf210,,1.698970004,Delta,10,,2.673020907,,2.40654018,2.920645001,,,,,,N,
Pf3,Obs,Pf_Pf21_Pf210,,1.698970004,Omicron,10,,2.920645001,,1.991226076,2.426511261,,,,,,N,
Pf3,Obs,Conv_Pf_Pf21_Pf240,,1.698970004,WT,10,14,3.67329744,,3.494988974,3.861414919,,,,,,N,
Pf3,Obs,Conv_Pf_Pf21_Pf240,,1.698970004,Delta,10,14,3.049605613,,2.861534411,3.237543738,,,,,,N,
Pf3,Obs,Conv_Pf_Pf21_Pf240,,1.698970004,Omicron,10,14,2.365487985,,2.068185862,2.643452676,,,,,,N,
Pf3,Obs,ConvWT,,1.698970004,WT,10,,3.049605613,,2.830588669,3.287129621,,,,,,N,
Pf3,Obs,ConvWT,,1.698970004,Delta,10,,2.167317335,,1.903089987,2.445604203,,,,,,N,
Pf3,Obs,ConvWT,,1.698970004,Omicron,10,,1.431363764,,1.342422681,1.505149978,,,,,,Y,
Pf4,Obs,Pf,HCW,1.301029996,WT,12,18,1.322219295,0.311563241,,,,,,,,N,
Pf4,Obs,Pf,HCW,1.301029996,Alpha,12,18,1.477121255,0.555201873,,,,,,,,N,
Pf4,Obs,Pf,HCW,1.301029996,Beta,12,18,1.079181246,0.20933286,,,,,,,,Y,
Pf4,Obs,Conv_Pf,HCW,1.301029996,WT,13,18,3.276231958,0.410114965,,,,,,,,N,
Pf4,Obs,Conv_Pf,HCW,1.301029996,Alpha,13,18,3.666705136,0.397782208,,,,,,,,N,
Pf4,Obs,Conv_Pf,HCW,1.301029996,Beta,13,18,2.868644438,0.499549104,,,,,,,,N,
Pf4,Obs,Pf_Pf21,HCW,1.301029996,WT,12,25,2.276461804,0.439495387,,,,,,,,N,
Pf4,Obs,Pf_Pf21,HCW,1.301029996,Alpha,12,25,2.575360749,0.601823076,,,,,,,,N,
Pf4,Obs,Pf_Pf21,HCW,1.301029996,Beta,12,25,1.792391689,0.528610276,,,,,,,,N,
