Study_ID,Type,Group1,Group2,LOD,Variant,Num_ppl,Day_measure,NAb_mean,NAb_SD,NAb_l95,NAb_u95,NAb_med,NAb_q1,NAb_q3,NAb_min,NAb_max,LOD_50,DOI
PZ3_AP,Obs,PZ_PZ,NA,NA,WT,85,14,NA,NA,NA,NA,2.361728,1.799341,2.91169,NA,NA,Y,https://doi.org/10.1007/s40520-021-01987-9
PZ3_AP,Obs,ConvNR,NA,NA,WT,29,14,3.210586,NA,2.9154,3.515476,NA,NA,NA,NA,NA,Y,https://doi.org/10.1007/s40520-021-01987-9
PZ16_AP,Obs,PZ,NA,10,B.1.36.27,12,21,1.075547,NA,0.7323938,1.418301,NA,NA,NA,NA,NA,Y,https://doi.org/10.1093/cid/ciab656
PZ16_AP,Obs,PZ,NA,10,Beta,12,21,0.770852,NA,0.6127839,0.9395193,NA,NA,NA,NA,NA,Y,https://doi.org/10.1093/cid/ciab656
PZ16_AP,Obs,PZ,NA,10,theta,12,21,0.80618,NA,0.6720979,0.9344985,NA,NA,NA,NA,NA,Y,https://doi.org/10.1093/cid/ciab656
PZ16_AP,Obs,PZ,NA,10,kappa,12,21,0.8512583,NA,0.6334685,1.064458,NA,NA,NA,NA,NA,Y,https://doi.org/10.1093/cid/ciab656
PZ16_AP,Obs,PZ_PZ,NA,10,B.1.36.27,12,28,1.904174,NA,1.662758,2.149219,NA,NA,NA,NA,NA,Y,https://doi.org/10.1093/cid/ciab656
PZ16_AP,Obs,PZ_PZ,NA,10,Beta,12,28,1.041393,NA,0.845098,1.230449,NA,NA,NA,NA,NA,Y,https://doi.org/10.1093/cid/ciab656
PZ16_AP,Obs,PZ_PZ,NA,10,theta,12,28,1.133539,NA,0.9542425,1.30103,NA,NA,NA,NA,NA,Y,https://doi.org/10.1093/cid/ciab656
PZ16_AP,Obs,PZ_PZ,NA,10,kappa,12,28,1.260071,NA,1,1.518514,NA,NA,NA,NA,NA,Y,https://doi.org/10.1093/cid/ciab656
PZ16_AP,Obs,ConvNR,NA,10,B.1.36.27,8,NA,1.996512,NA,1.623249,2.372912,NA,NA,NA,NA,NA,Y,https://doi.org/10.1093/cid/ciab656
PZ16_AP,Obs,ConvNR,NA,10,Beta,8,NA,1.240549,NA,0.7781513,1.672098,NA,NA,NA,NA,NA,Y,https://doi.org/10.1093/cid/ciab656
PZ16_AP,Obs,ConvNR,NA,10,theta,8,NA,1.290035,NA,0.90309,1.672098,NA,NA,NA,NA,NA,Y,https://doi.org/10.1093/cid/ciab656
PZ16_AP,Obs,ConvNR,NA,10,kappa,8,NA,1.462398,NA,1.041393,1.90309,NA,NA,NA,NA,NA,Y,https://doi.org/10.1093/cid/ciab656
Pf2_DB,Obs,PF_Pf,18to59,1,WT,3,81,2.722633923,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA
Pf2_DB,Obs,ConvWT,18to59,1,WT,45,33,3.032215703,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA
Pf2_DB,Obs,ConvWT,18to59,1,WT,45,180,2.622214023,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA
Pf2_DB,Obs,ConvKEN,18to59,1,Ken,45,33,2.877371346,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA
Pf2_DB,Obs,ConvKEN,18to59,1,Ken,45,180,2.450249108,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA
Pf3_DB,Obs,PF_Pf,18to59,1.477121255,WT,16,150,2.792069351,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA
Pf3_DB,Obs,PF_Pf,18to59,1.477121255,Delta,16,150,2.346802686,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA
Pf3_DB,Obs,PF_Pf,18to59,1.477121255,Omicron,16,150,1.253071336,NA,NA,NA,NA,NA,NA,NA,NA,N,NA
Pf3_DB,Obs,Pf_Pf_Pf,18to59,1.477121255,WT,20,30,4.411287125,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA
Pf3_DB,Obs,Pf_Pf_Pf,18to59,1.477121255,Delta,20,30,3.991838309,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA
Pf3_DB,Obs,Pf_Pf_Pf,18to59,1.477121255,Omicron,20,30,3.217878578,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA
Pf3_DB,Obs,ConvNR,18to59,1.477121255,WT,NA,180,2.830524514,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA
Pf3_DB,Obs,ConvNR,18to59,1.477121255,Delta,NA,180,2.702430536,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA
Pf3_DB,Obs,ConvNR,18to59,1.477121255,Omicron,NA,180,1.69019608,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA
Pf3_DB,Obs,ConvNR,18to59,1.477121255,WT,NA,365,3.055503039,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA
Pf3_DB,Obs,ConvNR,18to59,1.477121255,Delta,NA,365,2.559285547,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA
Pf3_DB,Obs,ConvNR,18to59,1.477121255,Omicron,NA,365,1.532833971,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA
Pf4_DB,Obs,PF_Pf,18to59,1.301029996,WT,11,180,2.781036939,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA
Pf4_DB,Obs,PF_Pf,18to59,1.301029996,Delta,11,180,2.195899652,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA
Pf4_DB,Obs,PF_Pf,18to59,1.301029996,Omicron,11,180,0.954242509,NA,NA,NA,NA,NA,NA,NA,NA,N,NA
Pf4_DB,Obs,Pf_Pf_Pf,18to59,1.301029996,WT,10,30,3.302330929,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA
Pf4_DB,Obs,Pf_Pf_Pf,18to59,1.301029996,Delta,10,30,2.861534411,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA
Pf4_DB,Obs,Pf_Pf_Pf,18to59,1.301029996,Omicron,10,30,2.484299839,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA
Pf4_DB,Obs,ConvWT,18to59,1.301029996,WT,17,175,2.788168371,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA
Pf4_DB,Obs,ConvWT,18to59,1.301029996,Delta,17,175,2.42975228,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA
Pf4_DB,Obs,ConvWT,18to59,1.301029996,Omicron,17,175,0,NA,NA,NA,NA,NA,NA,NA,NA,N,NA
Pf5_DB,RCT,PF_Pf,18to59,1.408239965,WT,30,34,2.416640507,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA
Pf5_DB,RCT,PF_Pf,18to59,1.408239965,Omicron,30,34,0.963315511,NA,1.046495164,1.280805928,NA,NA,NA,NA,NA,N,NA
Pf5_DB,RCT,Pf_Pf_Pf,18to59,1.408239965,WT,25,28,2.505149978,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA
Pf5_DB,RCT,Pf_Pf_Pf,18to59,1.408239965,Omicron,25,28,1.890979597,NA,1.570192561,2.168409084,NA,NA,NA,NA,NA,Y,NA
Pf5_DB,RCT,SV_SV_PZ,18to59,1.408239965,WT,30,28,2.485011215,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA
Pf5_DB,RCT,SV_SV_PZ,18to59,1.408239965,Omicron,30,28,1.772321707,NA,1.514149134,2.056409321,NA,NA,NA,NA,NA,Y,NA
Pf5_DB,RCT,ConvWT,18to59,1.408239965,WT,30,180,2.061829307,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA
Pf5_DB,RCT,ConvWT,18to59,1.408239965,Omicron,30,180,1.135768515,NA,0.903089987,1.342422681,NA,NA,NA,NA,NA,N,NA
Pf6_DB,RCT,Pf_Pf,18to59,1,Delta,10,28,2.214843848,NA,2.017033339,2.411619706,NA,NA,NA,NA,NA,Y,NA
Pf6_DB,RCT,Pf_Pf,18to59,1,Kappa,10,28,2.371067862,NA,2.217483944,2.5289167,NA,NA,NA,NA,NA,Y,NA
Pf6_DB,RCT,Pf_Pf,18to59,1,WT,10,28,3.070407322,NA,2.880241776,3.261024834,NA,NA,NA,NA,NA,Y,NA
Pf6_DB,RCT,ConvNR,18to59,NA,Delta,24,52,1.897627091,NA,1.69019608,2.10720997,NA,NA,NA,NA,NA,Y,NA
Pf6_DB,RCT,ConvNR,18to59,NA,Kappa,24,52,2.315970345,NA,2.130333768,2.503790683,NA,NA,NA,NA,NA,Y,NA
Pf6_DB,RCT,ConvNR,18to59,1,WT,24,52,2.710963119,NA,2.553883027,2.86923172,NA,NA,NA,NA,NA,Y,NA
Pf7_DB,RCT,PF_Pf,18to59,1,Delta,24,22,1.164352856,NA,NA,NA,NA,NA,NA,NA,NA,N,NA
Pf7_DB,RCT,PF_Pf,18to59,1,Delta,24,29,2.078819183,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA
Pf7_DB,RCT,PF_Pf_Pf,18to59,1,Delta,24,43,2.404833717,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA
Pf7_DB,RCT,Pf_Pf,60to80,1,Delta,23,22,1.041392685,NA,NA,NA,NA,NA,NA,NA,NA,N,NA
Pf7_DB,RCT,PF_Pf,60to80,1,Delta,23,29,1.693726949,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA
Pf7_DB,RCT,PF_PF_PF,60to80,1,Delta,23,43,2.204119983,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA
Pf7_DB,RCT,ConvNR,60to80,1,Delta,24,14,2.075546961,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA
Pf9_DB,,PF_Pf,18to59,1.602059991,WT,14,28,2.759667845,NA,2.621674707,2.961549228,NA,NA,NA,NA,NA,Y,NA
Pf9_DB,,PF_Pf,18to59,1.602059991,Alpha,14,28,2.51054501,NA,2.349763044,2.780281299,NA,NA,NA,NA,NA,Y,NA
Pf9_DB,,PF_Pf,18to59,1.602059991,Beta,14,28,2.004321374,NA,1.851295048,2.191171456,NA,NA,NA,NA,NA,Y,NA
Pf9_DB,,PF_Pf,18to59,1.602059991,Gamma,14,28,2.367355921,NA,2.236486876,2.57635287,NA,NA,NA,NA,NA,Y,NA
Pf9_DB,,PF_Pf,18to59,1.602059991,Delta,14,28,2.378397901,NA,2.259139758,2.553701022,NA,NA,NA,NA,NA,Y,NA
Pf9_DB,,PF_Pf,18to59,1.602059991,Epsilion,14,28,2.385606274,NA,2.259139758,2.59900924,NA,NA,NA,NA,NA,Y,NA
Pf9_DB,,PF_Pf,18to59,1.602059991,Lambda ,14,28,2.521138084,NA,2.417753934,2.689646217,NA,NA,NA,NA,NA,Y,NA
Pf9_DB,,PF_Pf,18to59,1.602059991,Mu,14,28,1.929418926,NA,1.78332461,2.123194805,NA,NA,NA,NA,NA,Y,NA
Pf9_DB,,ConvNR,18to59,1.602059991,WT,13,35,2.906335042,NA,2.633468456,3.206556044,NA,NA,NA,NA,NA,Y,NA
Pf9_DB,,ConvNR,18to59,1.602059991,Alpha,13,35,2.5774918,NA,2.28780173,2.896526217,NA,NA,NA,NA,NA,Y,NA
Pf9_DB,,ConvNR,18to59,1.602059991,Beta,13,35,2.184691431,NA,1.832508913,2.505149978,NA,NA,NA,NA,NA,Y,NA
Pf9_DB,,ConvNR,18to59,1.602059991,Gamma,13,35,2.552668216,NA,2.220108088,2.733999287,NA,NA,NA,NA,NA,Y,NA
Pf9_DB,,ConvNR,18to59,1.602059991,Delta,13,35,2.371067862,NA,2.025305865,2.701567985,NA,NA,NA,NA,NA,Y,NA
Pf9_DB,,ConvNR,18to59,1.602059991,Epsilion,13,35,2.673020907,NA,2.444044796,2.942999593,NA,NA,NA,NA,NA,Y,NA
Pf9_DB,,ConvNR,18to59,1.602059991,Lambda ,13,35,2.409933123,NA,2.11058971,2.689308859,NA,NA,NA,NA,NA,Y,NA
Pf9_DB,,ConvNR,18to59,1.602059991,Mu,13,35,2.045322979,NA,1.681241237,2.414973348,NA,NA,NA,NA,NA,Y,NA
Pf10_DB,Obs,PF_Pf,18to60,1,WT,30,28,2.737192643,NA,1.280122896,1.345765693,NA,NA,NA,NA,NA,Y,NA
Pf10_DB,Obs,PF_Pf,18to60,1,WT,30,150,2.1430148,NA,1.166430114,1.241297387,NA,NA,NA,NA,NA,Y,NA
Pf10_DB,Obs,PF_Pf,18to60,1,Omicron,30,28,0.903089987,NA,0.954724791,1.01745073,NA,NA,NA,NA,NA,N,NA
Pf10_DB,Obs,PF_Pf,18to60,1,Omicron,30,150,0.954242509,NA,0.935003151,1.020361283,NA,NA,NA,NA,NA,N,NA
Pf10_DB,Obs,Pf_Pf_Pf,18to60,1,WT,30,28,3.795254183,NA,1.482873584,1.534026106,NA,NA,NA,NA,NA,Y,NA
Pf10_DB,Obs,Pf_Pf_Pf,18to60,1,Omicron,30,28,3.077367905,NA,1.340047318,1.411114419,NA,NA,NA,NA,NA,Y,NA
Pf10_DB,Obs,ConvNR,18to60,1,WT,30,45,2.693726949,NA,1.274619619,1.359076226,NA,NA,NA,NA,NA,Y,NA
Pf10_DB,Obs,ConvNR,18to60,1,WT,30,365,1.968482949,NA,1.144262774,1.221674997,NA,NA,NA,NA,NA,Y,NA
Pf10_DB,Obs,ConvNR,18to60,1,Omicron,30,45,0.77815125,NA,0.92251786,0.992950961,NA,NA,NA,NA,NA,N,NA
Pf10_DB,Obs,ConvNR,18to60,1,Omicron,30,365,0.903089987,NA,0.943494516,1.006893708,NA,NA,NA,NA,NA,N,NA
Pf11_DB,Obs,PF_Pf,18to69,1,Beta,18,15,2.093421685,2.499687083,NA,NA,NA,NA,NA,NA,NA,Y,NA
Pf11_DB,Obs,PF_Pf,18to69,1,Gamma,18,15,2.408239965,2.638489257,NA,NA,NA,NA,NA,NA,NA,Y,NA
Pf11_DB,Obs,PF_Pf,18to69,1,Delta,18,15,2.73479983,3.056142262,NA,NA,NA,NA,NA,NA,NA,Y,NA
Pf11_DB,Obs,PF_Pf,18to69,1,Epsilon,18,15,2.557507202,2.51054501,NA,NA,NA,NA,NA,NA,NA,Y,NA
Pf11_DB,Obs,PF_Pf,18to69,1,WT,18,15,3.21005085,3.353916231,NA,NA,NA,NA,NA,NA,NA,Y,NA
Pf11_DB,Obs,PF_Pf,Nursing,1,Beta,8,35,3.790425917,3.705692697,NA,NA,NA,NA,NA,NA,NA,Y,NA
Pf11_DB,Obs,PF_Pf,Nursing,1,Gamma,8,35,4.165570741,3.831037486,NA,NA,NA,NA,NA,NA,NA,Y,NA
Pf11_DB,Obs,PF_Pf,Nursing,1,Delta,8,35,4.889396957,4.899234849,NA,NA,NA,NA,NA,NA,NA,Y,NA
Pf11_DB,Obs,PF_Pf,Nursing,1,Epsilon,8,35,3.906173364,3.856668484,NA,NA,NA,NA,NA,NA,NA,Y,NA
Pf11_DB,Obs,PF_Pf,Nursing,1,WT,8,35,5.031210462,4.32085222,NA,NA,NA,NA,NA,NA,NA,Y,NA
Pf11_DB,Obs,ConvNR,18to69,1,Beta,19,105,2.086359831,2.999565488,NA,NA,NA,NA,NA,NA,NA,Y,NA
Pf11_DB,Obs,ConvNR,18to69,1,Gamma,19,105,2.352182518,3.206015877,NA,NA,NA,NA,NA,NA,NA,Y,NA
Pf11_DB,Obs,ConvNR,18to69,1,Delta,19,105,2.36361198,3.065206128,NA,NA,NA,NA,NA,NA,NA,Y,NA
Pf11_DB,Obs,ConvNR,18to69,1,Epsilon,19,105,2.451786436,3.277838333,NA,NA,NA,NA,NA,NA,NA,Y,NA
Pf11_DB,Obs,ConvNR,18to69,1,WT,19,105,2.645422269,3.31868927,NA,NA,NA,NA,NA,NA,NA,Y,NA
PZ1_PC,Obs,Pf,NA,0.698970004,,22,21,NA,NA,NA,NA,0.812913357,0.698970004,1.181843588,NA,NA,N,http://doi.org/10.1007/s15010-021-01680-z 
PZ1_PC,Obs,Pf_Pf21,NA,0.698970004,,22,21,NA,NA,NA,NA,2.23299611,2.003029471,2.361916619,NA,NA,N,http://doi.org/10.1007/s15010-021-01680-z 
PZ1_PC,Obs,ConvNR,NA,0.698970004,,34,293,NA,NA,NA,NA,1.447158031,0.698970004,2.080987047,NA,NA,N,http://doi.org/10.1007/s15010-021-01680-z 
PZ2_PC,Obs,Pf,NA,1,D614G,25,21,0.730782276,NA,0.477121255,0.982271233,NA,NA,NA,NA,NA,N,http://doi.org/10.1093/cid/ciab492 
PZ2_PC,Obs,Pf_Pf21,NA,1,D614G,25,7,2.241048151,NA,2.125481266,2.356408327,NA,NA,NA,NA,NA,N,http://doi.org/10.1093/cid/ciab492 
PZ2_PC,Obs,Pf,NA,1,UK,25,21,0.539076099,NA,0.301029996,0.755874856,NA,NA,NA,NA,NA,N,http://doi.org/10.1093/cid/ciab492
PZ2_PC,Obs,Pf_Pf21,NA,1,UK,25,7,1.859378504,NA,1.722633923,1.996073654,NA,NA,NA,NA,NA,N,http://doi.org/10.1093/cid/ciab492
PZ2_PC,Obs,Pf,NA,1,SA,25,21,0.167317335,NA,0,0.342422681,NA,NA,NA,NA,NA,N,http://doi.org/10.1093/cid/ciab492
PZ2_PC,Obs,Pf_Pf21,NA,1,SA,25,7,1.607990859,NA,1.45484486,1.761175813,NA,NA,NA,NA,NA,N,http://doi.org/10.1093/cid/ciab492
PZ2_PC,Obs,ConvNR,NA,1,,15,180,1.549003262,NA,1.305351369,1.7930916,NA,NA,NA,NA,NA,N,http://doi.org/10.1093/cid/ciab492
PZ2_PC,Obs,ConvNR,NA,1,,15,180,1.448860846,NA,1.217483944,1.679427897,NA,NA,NA,NA,NA,N,http://doi.org/10.1093/cid/ciab492
PZ2_PC,Obs,ConvNR,NA,1,,15,180,0.693726949,NA,0.380211242,1.004321374,NA,NA,NA,NA,NA,N,http://doi.org/10.1093/cid/ciab492
PZ3_PC,Obs,Pf_Pf,NA,1,Alpha,117,90,NA,NA,NA,NA,2.505149978,1.903415586,2.806891905,NA,NA,N,https://doi.org/10.1007/s15010-021-01732-4 
PZ3_PC,Obs,Pf_Pf,NA,1,Delta,117,90,NA,NA,NA,NA,1.903089987,1.586137025,1.924124153,NA,NA,N,https://doi.org/10.1007/s15010-021-01732-4 
PZ3_PC,Obs,ConvNR,NA,1,Delta,97,NA,NA,NA,NA,NA,1.602059991,1.32407658,1.930999942,NA,NA,N,https://doi.org/10.1007/s15010-021-01732-4 
PZ4_PC,Obs,Conv_Pf,NA,1,Wuhan,6,15,3.963551734,NA,3.531095547,4.274204048,NA,NA,NA,NA,NA,N,http://doi.org/10.1056/NEJMc2104036
