,,"2019","2019","2019"
"Indicator","Age Group","Both sexes","Male","Female"
"nMx - age-specific death rate between ages x and x+n","<1 year","0.007695335","0.008453552","0.006889817"
"nMx - age-specific death rate between ages x and x+n","1-4 years","0.000322633","0.000349083","0.00029463"
"nMx - age-specific death rate between ages x and x+n","5-9 years","0.00032789","0.000354762","0.000299423"
"nMx - age-specific death rate between ages x and x+n","10-14 years","0.000511851","0.000608596","0.000409332"
"nMx - age-specific death rate between ages x and x+n","15-19  years","0.000884612","0.001306056","0.000441819"
"nMx - age-specific death rate between ages x and x+n","20-24 years","0.001196805","0.001854368","0.000515771"
"nMx - age-specific death rate between ages x and x+n","25-29 years","0.001610319","0.002528256","0.000682619"
"nMx - age-specific death rate between ages x and x+n","30-34 years","0.002091867","0.003271733","0.000914838"
"nMx - age-specific death rate between ages x and x+n","35-39 years","0.002547962","0.003824625","0.001297863"
"nMx - age-specific death rate between ages x and x+n","40-44 years","0.003060661","0.004491914","0.001713131"
"nMx - age-specific death rate between ages x and x+n","45-49 years","0.003771536","0.00534988","0.002325773"
"nMx - age-specific death rate between ages x and x+n","50-54 years","0.004965394","0.006847349","0.003257975"
"nMx - age-specific death rate between ages x and x+n","55-59 years","0.006578711","0.008919359","0.004470395"
"nMx - age-specific death rate between ages x and x+n","60-64 years","0.009678037","0.012571263","0.007142184"
"nMx - age-specific death rate between ages x and x+n","65-69 years","0.014788079","0.018645607","0.011526495"
"nMx - age-specific death rate between ages x and x+n","70-74 years","0.022686733","0.028066024","0.018393148"
"nMx - age-specific death rate between ages x and x+n","75-79 years","0.035582914","0.042727334","0.030156949"
"nMx - age-specific death rate between ages x and x+n","80-84 years","0.05691562","0.065344192","0.051077077"
"nMx - age-specific death rate between ages x and x+n","85+ years","0.123361855","0.129648151","0.119550726"
