"year","weeknum","new_case","total_case","new_case_excludeabroad","total_case_excludeabroad","new_recovered","total_recovered","new_death","total_death"
2020,3,0,2,0,0,0,0,0,0
2020,3,2,2,0,0,0,0,0,0
2020,4,0,4,0,0,0,0,0,0
2020,4,4,6,0,0,0,0,0,0
2020,5,0,19,0,4,0,0,0,0
2020,5,13,19,4,4,0,0,0,0
2020,6,13,32,7,11,0,0,0,0
2020,6,0,25,0,6,0,0,0,0
2020,7,0,33,0,12,0,0,0,0
2020,7,2,34,2,13,0,0,0,0
2020,8,0,35,0,14,0,0,0,0
2020,8,1,35,1,14,0,0,0,0
2020,9,0,40,0,18,0,0,0,0
2020,9,7,42,5,19,0,0,0,0
2020,10,0,43,0,20,0,0,1,1
2020,10,8,50,1,20,0,0,0,1
2020,11,0,50,0,20,0,0,0,1
2020,11,32,82,25,45,35,35,0,1
2020,12,329,411,257,302,9,44,0,1
2020,13,833,1244,676,978,56,100,5,6
2020,14,823,2067,653,1631,512,612,14,20
2020,15,451,2518,357,1988,523,1135,15,35
2020,16,215,2733,191,2179,652,1787,12,47
2020,17,174,2907,161,2340,760,2547,4,51
2020,18,59,2966,47,2387,185,2732,3,54
2020,19,38,3004,34,2421,55,2787,2,56
2020,20,0,3025,0,2432,47,2855,0,56
2020,20,21,3025,11,2432,21,2854,0,56
2020,21,0,3037,0,2439,13,2910,0,56
2020,21,15,3040,8,2440,48,2916,0,56
2020,22,0,3040,0,2440,5,2921,1,57
2020,22,37,3077,1,2441,40,2961,0,57
2020,23,27,3104,0,2441,10,2971,1,58
2020,24,30,3134,0,2441,10,2987,0,58
2020,24,0,3125,0,2441,6,2987,0,58
2020,25,13,3147,0,2441,22,3018,0,58
2020,25,0,3135,0,2441,9,2996,0,58
2020,26,15,3162,0,2441,22,3040,0,58
2020,26,0,3162,0,2441,13,3053,0,58
2020,27,23,3185,0,2441,13,3066,0,58
2020,27,0,3162,0,2441,0,3053,0,58
2020,28,31,3216,0,2441,20,3088,0,58
2020,28,0,3202,0,2441,2,3087,0,58
2020,29,30,3246,0,2441,8,3096,0,58
2020,30,36,3282,0,2441,13,3109,0,58
2020,31,30,3312,0,2441,26,3135,0,58
2020,32,36,3348,0,2441,15,3150,0,58
2020,33,0,3376,0,2441,32,3193,0,58
2020,33,28,3376,0,2441,11,3173,0,58
2020,34,0,3390,0,2441,1,3220,0,58
2020,34,14,3390,0,2441,26,3219,0,58
2020,35,21,3411,0,2441,22,3242,0,58
2020,36,27,3438,1,2442,27,3279,0,58
2020,36,0,3411,0,2441,10,3252,0,58
2020,37,28,3466,0,2442,33,3312,0,58
2020,38,0,3490,0,2442,9,3325,0,58
2020,38,34,3500,0,2442,17,3338,1,59
2020,39,0,3506,0,2442,2,3342,0,59
2020,39,22,3522,0,2442,22,3362,0,59
2020,40,61,3583,0,2442,24,3386,0,59
2020,41,51,3634,0,2442,59,3445,0,59
2020,42,45,3679,2,2444,33,3478,0,59
2020,43,52,3731,4,2448,51,3529,0,59
2020,44,49,3780,0,2448,61,3590,0,59
2020,45,50,3830,1,2449,54,3644,1,60
2020,46,36,3866,1,2450,63,3707,0,60
2020,47,36,3902,0,2450,49,3756,0,60
2020,48,64,3966,0,2450,42,3798,0,60
2020,49,106,4072,3,2453,50,3848,0,60
2020,50,120,4192,7,2460,67,3915,0,60
2020,51,139,4331,14,2474,109,4024,0,60
2020,52,1689,6020,1585,4059,128,4152,0,60
2020,53,1359,7379,1281,5340,147,4299,4,64
2021,1,2674,10053,2595,7935,1247,5546,4,68
2021,2,1627,11680,1480,9415,3360,8906,3,71
2021,3,1622,13302,1532,10947,1542,10448,2,73
2021,4,4651,17953,4556,15503,1057,11505,4,77
2021,5,5181,23134,5104,20607,4769,16274,2,79
2021,6,1271,24405,1192,21799,4906,21180,1,80
2021,7,918,25323,836,22635,2949,24129,3,83
2021,8,558,25881,486,23121,893,25022,0,83
2021,9,424,26305,353,23474,664,25686,2,85
2021,10,452,26757,372,23846,400,26086,2,87
2021,11,956,27713,899,24745,426,26512,3,90
2021,12,944,28657,884,25629,624,27136,4,94
2021,13,206,28863,137,25766,290,27426,0,94
