"year","weeknum","new_case","total_case","new_case_excludeabroad","total_case_excludeabroad","new_recovered","total_recovered","new_death","total_death"
2021,52,3011,2226446,2869,2218200,3315,2171809,10,21708
2022,1,34593,2261039,33067,2251267,19453,2191262,105,21813
2022,2,55369,2316408,53168,2304435,25862,2217124,103,21916
2022,3,53406,2369814,51992,2356427,47440,2264564,103,22019
2022,4,54276,2424090,52935,2409362,53442,2318006,126,22145
2022,5,62032,2486122,60611,2469973,57382,2375388,126,22271
2022,6,91323,2577445,90060,2560033,61152,2436540,141,22412
2022,7,115917,2693362,114556,2674589,76729,2513269,182,22594
2022,8,151535,2844897,150334,2824923,107735,2621004,255,22849
2022,9,159917,3004814,158908,2983831,128487,2749491,327,23176
2022,10,156427,3161241,155854,3139685,161956,2911447,467,23643
2022,11,167732,3328973,167424,3307109,155845,3067292,519,24162
2022,12,174291,3503264,173998,3481107,160992,3228284,553,24715
2022,13,181491,3684755,181131,3662238,175358,3403642,603,25318
2022,14,173591,3858346,173066,3835304,177278,3580920,657,25975
2022,15,153838,4012184,153262,3988566,183058,3763978,779,26754
2022,16,135906,4148090,135315,4123881,168121,3932099,895,27649
2022,17,102859,4250949,102355,4226236,138757,4070856,877,28526
2022,18,65820,4316769,65618,4291854,123039,4193895,508,29034
2022,19,50983,4367752,50961,4342815,71103,4264998,387,29421
2022,20,39003,4406755,38990,4381805,53567,4318565,294,29715
2022,21,32244,4438999,32232,4414037,43752,4362317,233,29948
2022,22,24558,4463557,24550,4438587,37041,4399358,195,30143
2022,23,18832,4482389,18827,4457414,28605,4427963,171,30314
2022,24,14763,4497152,14741,4472155,17429,4445392,131,30445
2022,25,14625,4511777,14603,4486758,13024,4458416,130,30575
2022,26,16000,4527777,15984,4502742,13957,4472373,106,30681
2022,27,15262,4543039,15246,4517988,15119,4487492,132,30813
2022,28,13962,4557001,13958,4531946,14664,4502156,165,30978
2022,29,16462,4573463,16458,4548404,15480,4517636,149,31127
2022,30,15049,4588512,15047,4563451,15194,4532830,232,31359
2022,31,14847,4603359,14844,4578295,17718,4550548,202,31561
2022,32,15293,4618652,15290,4593585,14515,4565063,237,31798
2022,33,13560,4632212,13558,4607143,15214,4580277,202,32000
2022,34,12431,4644643,12429,4619572,14054,4594331,195,32195
2022,35,12268,4656911,12265,4631837,13482,4607813,180,32375
2022,36,9542,4666453,9542,4641379,12327,4620140,145,32520
2022,37,6457,4672910,6456,4647835,10225,4630365,97,32617
2022,38,4787,4677697,4787,4652622,6543,4636908,89,32706
2022,39,4435,4682132,4435,4657057,5986,4642894,65,32771
2022,40,2915,4685047,2915,4659972,4381,4647275,58,32829
2022,41,2234,4687281,2234,4662206,0,4647275,53,32882
2022,42,2616,4689897,2616,4664822,0,4647275,40,32922
2022,43,2551,4692448,2551,4667373,0,4647275,33,32955
2022,44,2759,4695207,2759,4670132,0,4647275,40,32995
2022,45,3166,4698373,3166,4673298,0,4647275,42,33037
2022,46,3957,4702330,3957,4677255,0,4647275,69,33106
2022,47,4914,4707244,4914,4682169,0,4647275,74,33180
2022,48,4284,4711528,4284,4686453,0,4647275,105,33285
2022,50,3419,4718908,3419,4693833,0,4647275,113,33505
2022,51,2900,4721808,2900,4696733,0,4647275,89,33594
2022,52,2111,4723919,2111,4698844,0,4647275,75,33669
