age,male,female,both
0,"257,679","243,324","501,003"
1,"288,401","271,618","560,019"
2,"303,073","287,266","590,339"
3,"321,070","302,935","624,005"
4,"338,506","318,759","657,265"
5,"341,166","322,881","664,047"
6,"353,590","335,950","689,540"
7,"375,253","354,563","729,816"
8,"383,740","362,071","745,811"
9,"410,376","388,150","798,526"
10,"402,055","379,685","781,740"
11,"387,815","367,432","755,247"
12,"399,789","377,369","777,158"
13,"402,152","380,036","782,188"
14,"410,702","388,669","799,371"
15,"407,170","384,718","791,888"
16,"411,142","390,660","801,802"
17,"415,694","395,406","811,100"
18,"404,024","383,692","787,716"
19,"404,973","385,737","790,710"
20,"406,259","387,263","793,522"
21,"424,637","409,381","834,018"
22,"424,447","407,438","831,885"
23,"449,996","436,529","886,525"
24,"488,512","472,327","960,839"
25,"498,963","482,444","981,407"
26,"492,629","478,533","971,162"
27,"476,783","461,583","938,366"
28,"478,771","466,170","944,941"
29,"485,710","473,854","959,564"
30,"482,495","470,447","952,942"
31,"474,905","465,640","940,545"
32,"455,427","446,417","901,844"
33,"445,152","437,298","882,450"
34,"440,921","437,782","878,703"
35,"455,666","452,679","908,345"
36,"472,558","470,668","943,226"
37,"474,040","474,348","948,388"
38,"483,883","487,016","970,899"
39,"499,956","505,022","1,004,978"
40,"499,519","505,386","1,004,905"
41,"509,081","516,112","1,025,193"
42,"508,008","518,967","1,026,975"
43,"489,260","504,017","993,277"
44,"511,612","530,328","1,041,940"
45,"503,060","526,059","1,029,119"
46,"491,847","517,145","1,008,992"
47,"498,163","528,281","1,026,444"
48,"485,137","518,693","1,003,830"
49,"497,368","537,266","1,034,634"
50,"501,489","547,530","1,049,019"
51,"489,972","534,949","1,024,921"
52,"478,529","529,154","1,007,683"
53,"492,420","547,992","1,040,412"
54,"469,464","522,126","991,590"
55,"454,724","513,388","968,112"
56,"458,773","518,950","977,723"
57,"452,371","517,888","970,259"
58,"423,816","482,062","905,878"
59,"411,854","468,446","880,300"
60,"390,488","447,441","837,929"
61,"384,192","448,946","833,138"
62,"365,613","427,686","793,299"
63,"331,752","393,979","725,731"
64,"317,445","378,714","696,159"
65,"291,308","345,247","636,555"
66,"268,163","322,537","590,700"
67,"269,950","331,512","601,462"
68,"247,275","305,722","552,997"
69,"240,508","297,031","537,539"
70,"222,837","278,145","500,982"
71,"208,555","263,758","472,313"
72,"198,433","254,180","452,613"
73,"174,392","222,397","396,789"
74,"154,904","199,691","354,595"
75,"138,605","181,717","320,322"
76,"120,852","160,963","281,815"
77,"113,590","150,837","264,427"
78,"102,906","140,175","243,081"
79,"95,252","132,019","227,271"
80,"91,552","129,954","221,506"
81,"76,948","112,985","189,933"
82,"75,979","111,678","187,657"
83,"69,445","104,781","174,226"
84,"59,516","93,269","152,785"
85,"52,450","83,105","135,555"
86,"45,261","74,391","119,652"
87,"38,732","63,198","101,930"
88,"33,212","56,419","89,631"
89,"28,475","48,568","77,043"
90,"22,379","39,715","62,094"
91,"18,037","32,463","50,500"
92,"14,728","26,572","41,300"
93,"12,019","21,486","33,505"
94,"9,777","17,518","27,295"
95,"7,063","12,637","19,700"
96,"5,542","9,769","15,311"
97,"4,086","6,649","10,735"
98,"3,502","5,216","8,718"
99,"2,817","4,090","6,907"
100,"2,505","3,408","5,913"
101,"9,068","11,156","20,224"
