Date,Vac Allocated AstraZeneca,Vac Allocated Sinovac,Vac Given 1 Area 1 Cum,Vac Given 1 Area 10 Cum,Vac Given 1 Area 11 Cum,Vac Given 1 Area 12 Cum,Vac Given 1 Area 13 Cum,Vac Given 1 Area 2 Cum,Vac Given 1 Area 3 Cum,Vac Given 1 Area 4 Cum,Vac Given 1 Area 5 Cum,Vac Given 1 Area 6 Cum,Vac Given 1 Area 7 Cum,Vac Given 1 Area 8 Cum,Vac Given 1 Area 9 Cum,Vac Given 1 Cum,Vac Given 2 Area 1 Cum,Vac Given 2 Area 10 Cum,Vac Given 2 Area 11 Cum,Vac Given 2 Area 12 Cum,Vac Given 2 Area 13 Cum,Vac Given 2 Area 2 Cum,Vac Given 2 Area 3 Cum,Vac Given 2 Area 4 Cum,Vac Given 2 Area 5 Cum,Vac Given 2 Area 6 Cum,Vac Given 2 Area 7 Cum,Vac Given 2 Area 8 Cum,Vac Given 2 Area 9 Cum,Vac Given 2 Cum,Vac Given 3 Cum,Vac Given Area 1 Cum,Vac Given Area 10 Cum,Vac Given Area 11 Cum,Vac Given Area 12 Cum,Vac Given Area 13 Cum,Vac Given Area 2 Cum,Vac Given Area 3 Cum,Vac Given Area 4 Cum,Vac Given Area 5 Cum,Vac Given Area 6 Cum,Vac Given Area 7 Cum,Vac Given Area 8 Cum,Vac Given Area 9 Cum,Vac Given AstraZeneca 1 Cum,Vac Given AstraZeneca 2 Cum,Vac Given AstraZeneca 3 Cum,Vac Given Moderna 1 Cum,Vac Given Moderna 2 Cum,Vac Given Moderna 3 Cum,Vac Given Pfizer 1 Cum,Vac Given Pfizer 2 Cum,Vac Given Pfizer 3 Cum,Vac Given Sinopharm 1 Cum,Vac Given Sinopharm 2 Cum,Vac Given Sinopharm 3 Cum,Vac Given Sinovac 1 Cum,Vac Given Sinovac 2 Cum,Vac Given Sinovac 3 Cum,Vac Group Health Volunteer 1 Cum,Vac Group Health Volunteer 2 Cum,Vac Group Health Volunteer 3 Cum,Vac Group Kids 1 Cum,Vac Group Kids 2 Cum,Vac Group Kids 3 Cum,Vac Group Medical All 1 Cum,Vac Group Medical All 2 Cum,Vac Group Medical All 3 Cum,Vac Group Medical Staff 1 Cum,Vac Group Medical Staff 2 Cum,Vac Group Medical Staff 3 Cum,Vac Group Other Frontline Staff 1 Cum,Vac Group Other Frontline Staff 2 Cum,Vac Group Other Frontline Staff 3 Cum,Vac Group Over 60 1 Cum,Vac Group Over 60 2 Cum,Vac Group Over 60 3 Cum,Vac Group Risk: Disease 1 Cum,Vac Group Risk: Disease 2 Cum,Vac Group Risk: Disease 3 Cum,Vac Group Risk: Location 1 Cum,Vac Group Risk: Location 2 Cum,Vac Group Risk: Location 3 Cum,Vac Group Risk: Pregnant 1 Cum,Vac Group Risk: Pregnant 2 Cum,Vac Group Risk: Pregnant 3 Cum,Vac Group Student 1 Cum,Vac Group Student 2 Cum,Vac Group Student 3 Cum,Vac Problem Anaphylaxis,Vac Problem Polyneuropathy
2021-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-06,,,1524.0,,2257.0,,2742.0,1057.0,,4009.0,11386.0,4522.0,,,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,,,,,,1524.0,,2257.0,,2742.0,1057.0,,4009.0,11386.0,4522.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-07,,,1524.0,,2257.0,,2742.0,1057.0,,4009.0,11386.0,4522.0,,,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,,,,,,1524.0,,2257.0,,2742.0,1057.0,,4009.0,11386.0,4522.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-08,,,1661.0,,2583.0,,3097.0,1304.0,,4329.0,12175.0,4751.0,,,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,,,,,,1661.0,,2583.0,,3097.0,1304.0,,4329.0,12175.0,4751.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-09,,,1661.0,,2885.0,,3725.0,1568.0,,4880.0,14003.0,4899.0,,,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,,,,,,1661.0,,2885.0,,3725.0,1568.0,,4880.0,14003.0,4899.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-10,,,1699.0,,3260.0,,3976.0,1875.0,,5147.0,15850.0,4990.0,,,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,,,,,,1699.0,,3260.0,,3976.0,1875.0,,5147.0,15850.0,4990.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-11,,,1752.0,,3260.0,,4305.0,2138.0,,5377.0,18158.0,5150.0,,,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,,,,,,1752.0,,3260.0,,4305.0,2138.0,,5377.0,18158.0,5150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-12,,,1760.0,,3260.0,,4521.0,2500.0,,6032.0,21009.0,5327.0,,,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,,,,,,1760.0,,3260.0,,4521.0,2500.0,,6032.0,21009.0,5327.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
