,dose1,dose2,dose3,possibility (y/n)?,
1,az,az,az,N,All Done :)
2,az,az,md,Y,
3,az,az,pf,Y,
4,az,az,sp,N,
5,az,az,sv,N,
6,az,md,az,N,
7,az,md,md,Y,
8,az,md,pf,N,
9,az,md,sp,N,
10,az,md,sv,N,
11,az,pf,az,N,
12,az,pf,md,N,
13,az,pf,pf,Y,
14,az,pf,sp,N,
15,az,pf,sv,N,
16,az,sp,az,N,
17,az,sp,md,N,
18,az,sp,pf,N,
19,az,sp,sp,N,
20,az,sp,sv,N,
21,az,sv,az,N,
22,az,sv,md,N,
23,az,sv,pf,N,
24,az,sv,sp,N,
25,az,sv,sv,N,
26,md,az,az,N,
27,md,az,md,N,
28,md,az,pf,N,
29,md,az,sp,N,
30,md,az,sv,N,
31,md,md,az,Y,
32,md,md,md,N,
33,md,md,pf,Y,
34,md,md,sp,N,
35,md,md,sv,N,
36,md,pf,az,N,
37,md,pf,md,N,
38,md,pf,pf,N,
39,md,pf,sp,N,
40,md,pf,sv,N,
41,md,sp,az,N,
42,md,sp,md,N,
43,md,sp,pf,N,
44,md,sp,sp,N,
45,md,sp,sv,N,
46,md,sv,az,N,
47,md,sv,md,N,
48,md,sv,pf,N,
49,md,sv,sp,N,
50,md,sv,sv,N,
51,pf,az,az,N,
52,pf,az,md,N,
53,pf,az,pf,N,
54,pf,az,sp,N,
55,pf,az,sv,N,
56,pf,md,az,N,
57,pf,md,md,Y,
58,pf,md,pf,N,
59,pf,md,sp,N,
60,pf,md,sv,N,
61,pf,pf,az,N,
62,pf,pf,md,N,
63,pf,pf,pf,Y,
64,pf,pf,sp,N,
65,pf,pf,sv,N,
66,pf,sp,az,N,
67,pf,sp,md,N,
68,pf,sp,pf,N,
69,pf,sp,sp,N,
70,pf,sp,sv,N,
71,pf,sv,az,N,
72,pf,sv,md,N,
73,pf,sv,pf,N,
74,pf,sv,sp,N,
75,pf,sv,sv,Y,
76,sp,az,az,N,
77,sp,az,md,N,
78,sp,az,pf,N,
79,sp,az,sp,N,
80,sp,az,sv,N,
81,sp,md,az,N,
82,sp,md,md,N,
83,sp,md,pf,N,
84,sp,md,sp,N,
85,sp,md,sv,N,
86,sp,pf,az,N,
87,sp,pf,md,N,
88,sp,pf,pf,N,
89,sp,pf,sp,N,
90,sp,pf,sv,N,
91,sp,sp,az,Y,
92,sp,sp,md,Y,
93,sp,sp,pf,Y,
94,sp,sp,sp,N,
95,sp,sp,sv,N,
96,sp,sv,az,N,
97,sp,sv,md,N,
98,sp,sv,pf,N,
99,sp,sv,sp,N,
100,sp,sv,sv,N,
101,sv,az,az,Y,
102,sv,az,md,Y,
103,sv,az,pf,Y,
104,sv,az,sp,N,
105,sv,az,sv,N,
106,sv,md,az,N,
107,sv,md,md,Y,
108,sv,md,pf,N,
109,sv,md,sp,N,
110,sv,md,sv,N,
111,sv,pf,az,Y,
112,sv,pf,md,Y,
113,sv,pf,pf,Y,
114,sv,pf,sp,N,
115,sv,pf,sv,N,
116,sv,sp,az,N,
117,sv,sp,md,N,
118,sv,sp,pf,N,
119,sv,sp,sp,N,
120,sv,sp,sv,N,
121,sv,sv,az,Y,
122,sv,sv,md,Y,
123,sv,sv,pf,Y,
124,sv,sv,sp,N,
125,sv,sv,sv,N,
